name,price,img_link,category
AKSA's Heartbeat Silver Chain Bracelet,"1,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00016_1_350x350_crop_bottom.jpg?v=1646833299,bracelet
AKSA's Infinity Beads Silver Chain Bracelet,"1,799.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00177_350x350_crop_bottom.jpg?v=1650267192,bracelet
AKSA's Halo Silver Chain Bracelet,"1,699.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/BR1_350x350_crop_bottom.jpg?v=1646564706,bracelet
AKSA's Blossom Silver Chain Bracelet,"1,899.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/BR2_350x350_crop_bottom.jpg?v=1646564735,bracelet
AKSA's Dangling Rose Gold Silver Dual Layer Chain Bracelet,"1,899.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00131_350x350_crop_bottom.jpg?v=1649228239,bracelet
AKSA's Moon Star Rose Gold Charm Bracelet,"1,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00066_350x350_crop_bottom.jpg?v=1649228225,bracelet
AKSA's Silver Zircon Festive Charm Bracelet,"1,799.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00059_350x350_crop_bottom.jpg?v=1646833283,bracelet
AKSA's Wavering Silver Adjustable Ring Bracelet,"3,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/BR9.3_350x350_crop_bottom.jpg?v=1649311922,bracelet
AKSA's Heartfull Bead Silver Slider Bracelet,"3,099.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7266_350x350_crop_bottom.jpg?v=1653634581,bracelet
AKSA's Clover Loop Silver Chain Bracelet,"1,649.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7152_350x350_crop_bottom.jpg?v=1653635525,bracelet
AKSA's Bead Silver Slider Bracelet,"3,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7099_350x350_crop_bottom.jpg?v=1653635554,bracelet
AKSA's Shiny Solitaire Silver Slider Bracelet,"2,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7191_350x350_crop_bottom.jpg?v=1653634635,bracelet
AKSA's Heart Silver Slider Bracelet,"2,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7275_350x350_crop_bottom.jpg?v=1653635610,bracelet
AKSA's Evil Eye Silver Slider Bracelet,"2,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7209_350x350_crop_bottom.jpg?v=1652789576,bracelet
AKSA's Style It Yourself Silver Chain Necklace,"3,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7148_350x350_crop_bottom.jpg?v=1652859402,bracelet
AKSA's Tripple Layer Silver Slider Bracelet,"1,999.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7150_350x350_crop_bottom.jpg?v=1652859249,bracelet
AKSA's Wave Silver Non-Adjustable Bangle Bracelet,"3,199.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH6945_350x350_crop_bottom.jpg?v=1652859180,bracelet
AKSA's Love Charm Silver Non-Adjustable Bangle Bracelet,"1,999.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH6964_350x350_crop_bottom.jpg?v=1652859023,bracelet
AKSA's Bold Bead Rose Gold Non-Adjustable Bangle Bracelet,"3,199.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH6955_350x350_crop_bottom.jpg?v=1652859097,bracelet
AKSA's Solid Link Rose Gold Non-Adjustable Bangle Bracelet,"3,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH6922_350x350_crop_bottom.jpg?v=1652859151,bracelet
AKSA's Beaded Bold Rose Gold Chain Bracelet,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7142_350x350_crop_bottom.jpg?v=1652858997,bracelet
AKSA's Baguette Beauty Silver Slider Bracelet,"3,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7182_47ba31a3-f92f-4ded-aca0-5adc58e7a548_350x350_crop_bottom.jpg?v=1653637372,bracelet
AKSA's Good Luck Silver Charm Bracelet,"1,899.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7204_350x350_crop_bottom.jpg?v=1652788888,bracelet
AKSA's Dual Tone Evil Eye Silver Chain Bracelet,"1,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7196_350x350_crop_bottom.jpg?v=1652686390,bracelet
AKSA's Bold Silver Chain Bracelet,"1,999.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00153_350x350_crop_bottom.jpg?v=1650867120,bracelet
AKSA's Falling Winter Rose Gold Charm Bracelet,"1,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00062_350x350_crop_bottom.jpg?v=1650266745,bracelet
AKSA's Dangling Heart Silver Charm Bracelet,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00196_350x350_crop_bottom.jpg?v=1650266353,bracelet
AKSA's Dangling Silver Dual Layer Chain Bracelet,"1,699.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00139_350x350_crop_bottom.jpg?v=1649227243,bracelet
AKSA's Infinity Loop Rose Gold Charm Bracelet,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00105_350x350_crop_bottom.jpg?v=1649226822,bracelet
AKSA's Star Sparkling Silver Chain Bracelet,"1,899.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00025_350x350_crop_bottom.jpg?v=1649226564,bracelet
AKSA's Multi Charm Silver Chain Bracelet,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00144_350x350_crop_bottom.jpg?v=1649225946,bracelet
AKSA's Tree Silver Chain Bracelet,"1,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00052_350x350_crop_bottom.jpg?v=1649220262,bracelet
AKSA's Magnetic Charm Silver Non-adjustable Bangle Bracelet,"2,649.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00003_350x350_crop_bottom.jpg?v=1646829670,bracelet
AKSA's Gradient Pearl Silver Bracelet,"1,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/BR10_350x350_crop_bottom.jpg?v=1646651919,bracelet
AKSA's Pearl Silver Double Layer Bracelet,"1,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/BR11_350x350_crop_bottom.jpg?v=1646651847,bracelet
AKSA's Wavering Rose Gold Adjustable Ring Bracelet,"3,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/BR8.3_350x350_crop_bottom.jpg?v=1649311876,bracelet
AKSA's Maple Fall Rose Gold Charm Bracelet,"1,549.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/BR7_350x350_crop_bottom.jpg?v=1646564928,bracelet
AKSA's Maple Fall Silver Charm Bracelet,"1,549.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/BR6_350x350_crop_bottom.jpg?v=1646564883,bracelet
AKSA's Dangling Rose Gold Charm Bracelet,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/BR4_350x350_crop_bottom.jpg?v=1646564798,bracelet
AKSA's Twisted Tripple Tone Bangle Bracelet,"1,799.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/BR3_350x350_crop_bottom.jpg?v=1646564763,bracelet
AKSA's Tiny Star Silver Toe-ring,999.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/TR4.1_350x350_crop_bottom.jpg?v=1646573719,toerings
AKSA's Shiny Silver Toe-ring,"1,149.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/TR3.1_350x350_crop_bottom.jpg?v=1646573630,toerings
AKSA's Dolphin Silver Toe-ring,999.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/TR2.1_350x350_crop_bottom.jpg?v=1646573503,toerings
AKSA's Rose Silver Toe-ring,"1,149.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/Rose_toering_final_350x350_crop_bottom.jpg?v=1646550569,toerings
AKSA's Dear Heart Silver Necklace,"1,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/1_38d24487-de24-4e44-bc7b-ca5a9ed16db8_350x350_crop_bottom.jpg?v=1650274259,pendant
AKSA's Square Silver South Screw Nose Pin,499.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP1.1_350x350_crop_bottom.jpg?v=1646565805,nose-rings
AKSA's Star Silver South Screw Nose Pin,499.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP2.1_350x350_crop_bottom.jpg?v=1646566066,nose-rings
AKSA's Square Silver Wired Nose Pin,499.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP3.1_350x350_crop_bottom.jpg?v=1650867224,nose-rings
AKSA's Round Silver South Screw Nose Pin,499.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP4.2_350x350_crop_bottom.jpg?v=1646602479,nose-rings
AKSA's Weaved Silver Wired Nose Pin,499.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP6.1_350x350_crop_bottom.jpg?v=1646566866,nose-rings
AKSA's Periwinkle Silver Wired Nose Pin,499.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP7.1_350x350_crop_bottom.jpg?v=1646566998,nose-rings
AKSA's Dart Round Silver Wired Nose Pin,499.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP8.1_350x350_crop_bottom.jpg?v=1646567089,nose-rings
AKSA's Triangular Silver Wired Nose Pin,449.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP9.1_350x350_crop_bottom.jpg?v=1646567193,nose-rings
AKSA's Flower Silver Wired Nose Pin,499.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP10.1_350x350_crop_bottom.jpg?v=1646567311,nose-rings
AKSA's Tiny Bead Silver Clip-on Nose Ring,499.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/N11_350x350_crop_bottom.jpg?v=1646567437,nose-rings
AKSA's Rose Silver Wired Nose Pin,499.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP12.1_350x350_crop_bottom.jpg?v=1646572972,nose-rings
AKSA's Bead Golden Nose Ring,499.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP13_350x350_crop_bottom.jpg?v=1646573022,nose-rings
AKSA's Weave Twist Silver Nose Ring,449.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/N14_350x350_crop_bottom.jpg?v=1646652738,nose-rings
AKSA's Twirl Silver Nose Ring,449.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/N15_350x350_crop_bottom.jpg?v=1646573180,nose-rings
AKSA's Cylinder Wire Silver Nose Ring,449.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP16_350x350_crop_bottom.jpg?v=1646573254,nose-rings
AKSA's Wired Loop Silver Nose Ring,499.00,https://cdn.shopify.com/s/files/1/0622/2620/2840/products/NP5_350x350_crop_bottom.jpg?v=1646566713,nose-rings
AKSA's Infinity Heart Silver Necklace,"1,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00345_350x350_crop_bottom.jpg?v=1646831232,pendant
AKSA's Infinity Heartbeat Silver Necklace,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00164_3_350x350_crop_bottom.jpg?v=1646831003,pendant
AKSA's Double Layered Heart Silver Necklace,"1,699.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/Layer3_dc6c62b5-2563-4f58-8d74-11fbd1982864_350x350_crop_bottom.jpg?v=1646831193,pendant
AKSA's Angel Silver Pendant with Chain,"1,199.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD14.1_350x350_crop_bottom.jpg?v=1646566410,pendant
AKSA's Collective Dazzle Silver Pendant with Chain,"2,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00306_350x350_crop_bottom.jpg?v=1646893137,pendant
AKSA's Snake Silver Dual Layer Chain,"2,799.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00104_350x350_crop_bottom.jpg?v=1646890448,pendant
AKSA's Playful Heart Clover Silver Necklace,"1,999.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00366_350x350_crop_bottom.jpg?v=1649236454,pendant
AKSA's Tree Drop Slider Silver Necklace,"1,999.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00226_8452f717-efd0-487d-852f-7cf008e7c557_350x350_crop_bottom.jpg?v=1649231182,pendant
AKSA's Tree Pendant with Chain,"1,699.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00319_350x350_crop_bottom.jpg?v=1649235099,pendant
AKSA's Evil Eye Silver Charm Necklace,"1,699.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00199_350x350_crop_bottom.jpg?v=1646831059,pendant
AKSA's Gradient Pearl Silver Necklace,"1,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD19.1_350x350_crop_bottom.jpg?v=1646566552,pendant
AKSA's Pearl Silver Tripple Layer Necklace,"1,999.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD21.1_350x350_crop_bottom.jpg?v=1646566613,pendant
AKSA's Bouquet Matte Rose Gold Necklace,"1,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD12.1_350x350_crop_bottom.jpg?v=1646566369,pendant
AKSA's Leaf Life Gold Vermeil Pendant with Chain,"3,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/BORA-BlackGold4564_350x350_crop_bottom.jpg?v=1646715966,pendant
AKSA's Studded Ribbon Silver Pendant with Chain,"2,899.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00312_350x350_crop_bottom.jpg?v=1646832084,pendant
AKSA's Snowflake Silver Necklace,"1,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00336_f1d1f74e-2dba-4a49-a88e-210df54c9123_350x350_crop_bottom.jpg?v=1649235315,pendant
AKSA's Constellation Star Silver Necklace,"2,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00257_350x350_crop_bottom.jpg?v=1649234724,pendant
AKSA's Honeycomb Shell Silver Necklace,"1,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00341_5ca5722b-b432-4753-a7e8-55e0303e65fb_350x350_crop_bottom.jpg?v=1649234633,pendant
AKSA's Heart Playful Pearl Silver Drop Necklace,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00220_3eff794d-85fc-4c2e-b4ca-9a8a91d0dc0d_350x350_crop_bottom.jpg?v=1647240802,pendant
AKSA's Heart Rose Gold Pendant With Chain,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00214_cfab3619-4554-44bb-b29b-8c66ce2ab4a3_350x350_crop_bottom.jpg?v=1646831153,pendant
AKSA's Tiny Pearl Silver Tripple Layer Necklace,"1,999.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD22.1_350x350_crop_bottom.jpg?v=1646566632,pendant
AKSA's Sharp Silver Pendant with Chain,"1,199.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD15.1_350x350_crop_bottom.jpg?v=1646566428,pendant
